customer_id,age,gender,country,monthly_visits,amount_spent,joined_year
230,44,Other,South Africa,10,7.31,2016
231,36,Male,USA,5,13.67,2017
232,53,Other,Kenya,7,101.02,2018
233,64,Male,Kenya,6,5.6,2015
234,61,Male,Ghana,4,179.75,2023
235,61,Other,Kenya,3,0.25,2023
236,64,Female,South Africa,5,53.68,2018
237,24,Other,Ghana,4,97.08,2015
238,51,Female,UK,4,135.87,2015
239,14,Male,USA,5,7.77,2020
240,15,Other,Ghana,2,59.9,2016
241,61,Other,UK,7,5.68,2015
242,49,Other,Ghana,3,21.74,2024
243,61,Female,Nigeria,5,65.82,2016
244,68,Female,Nigeria,6,21.23,2021
245,29,Male,Ghana,8,18.8,2018
246,61,Female,Kenya,5,6.17,2021
247,14,Female,Nigeria,3,3.44,2021
248,14,Male,USA,3,6.12,2018
249,40,Other,UK,5,104.16,2016
250,66,Other,South Africa,7,0.56,2023
251,35,Male,Nigeria,5,59.02,2024
252,49,Other,Ghana,5,73.19,2024
253,44,Female,Kenya,10,41.95,2017
254,45,Male,South Africa,2,65.61,2015
255,13,Male,UK,6,52.82,2022
256,31,Male,UK,7,30.4,2018
257,14,Other,Nigeria,4,24.12,2023
258,65,Male,UK,11,141.79,2022
259,56,Male,UK,5,178.67,2021
260,38,Male,Kenya,4,52.67,2023
261,44,Other,Kenya,1,10.99,2016
262,18,Female,Kenya,11,29.7,2018
263,44,Male,Ghana,3,34.31,2019
264,67,Female,UK,2,70.93,2019
265,16,Other,UK,7,55.1,2015
266,67,Other,UK,5,36.16,2023
267,23,Other,USA,1,57.03,2023
268,68,Other,Kenya,6,1.22,2019
269,29,Female,South Africa,4,74.95,2024
270,50,Male,Nigeria,9,11.89,2017
271,36,Other,South Africa,4,53.42,2022
272,17,Other,Ghana,9,6.05,2021
273,64,Female,Ghana,5,6.08,2019
274,46,Female,UK,2,1.82,2015
275,18,Other,South Africa,8,120.53,2021
276,34,Male,UK,2,46.39,2015
277,23,Male,USA,7,22.47,2015
278,60,Other,Ghana,9,77.51,2023
279,28,Female,Ghana,3,49.19,2020
280,45,Other,South Africa,3,48.39,2021
281,21,Other,Ghana,6,33.38,2016
282,18,Female,USA,7,0.4,2022
283,28,Other,USA,2,14.95,2021
284,41,Other,USA,9,5.77,2019
285,15,Other,Nigeria,5,54.3,2022
286,32,Female,USA,5,14.29,2016
287,48,Male,USA,3,29.91,2020
288,31,Male,Nigeria,6,21.8,2018
289,38,Female,UK,6,7.73,2021
290,15,Male,Kenya,4,158.95,2020
291,31,Other,Ghana,6,135.47,2020
292,32,Male,USA,8,4.42,2019
293,44,Other,Ghana,4,87.83,2019
294,19,Male,South Africa,6,33.51,2016
295,64,Female,Ghana,4,74.3,2021
296,53,Male,UK,9,8.19,2021
297,45,Male,Nigeria,5,7.09,2022
298,52,Male,Ghana,7,110.71,2018
299,51,Female,Ghana,2,114.05,2023
300,30,Male,Ghana,4,31.36,2024
301,52,Female,Kenya,4,102.07,2017
302,13,Other,Kenya,7,55.05,2017
303,23,Male,South Africa,3,10.23,2016
304,40,Female,Nigeria,4,19.95,2024
305,69,Female,Ghana,3,7.31,2021
306,37,Male,Ghana,3,74.35,2024
307,62,Other,Ghana,2,210.83,2016
308,35,Female,Ghana,10,39.52,2021
309,43,Male,Kenya,3,53.34,2017
310,42,Other,UK,2,68.54,2015
311,54,Female,UK,6,12.7,2022
312,47,Female,South Africa,4,20.47,2022
313,19,Other,USA,6,26.58,2024
314,28,Other,Nigeria,2,45.14,2015
315,38,Male,UK,4,95.02,2020
316,60,Male,Ghana,9,14.67,2018
317,69,Female,UK,10,31.83,2019
318,64,Other,South Africa,5,69.62,2022
319,61,Other,USA,2,4.57,2022
320,14,Other,UK,3,35.96,2021
321,13,Female,South Africa,7,7.8,2019
322,60,Other,Kenya,6,38.73,2020
323,24,Other,USA,4,73.01,2022
324,17,Female,South Africa,2,13.52,2019
325,49,Male,UK,7,94.68,2017
326,44,Male,Kenya,6,20.38,2023
327,67,Female,South Africa,7,10.58,2023
328,21,Other,South Africa,7,31.3,2024
329,53,Female,UK,3,104.4,2015
330,47,Male,USA,3,3.57,2021
331,31,Male,Kenya,4,19.84,2018
332,60,Female,Ghana,5,52.95,2020
333,28,Female,Nigeria,2,22.13,2021
334,15,Male,USA,4,3.67,2022
335,32,Female,Kenya,7,20.17,2019
336,36,Male,South Africa,5,86.01,2019
337,66,Female,Kenya,6,172.16,2020
338,68,Female,Nigeria,4,2.03,2021
339,45,Female,UK,9,42.12,2019
340,36,Male,Nigeria,2,5.56,2019
341,64,Female,Ghana,6,57.03,2018
342,23,Male,Ghana,4,0.4,2015
343,61,Male,Nigeria,3,0.74,2021
344,20,Female,USA,6,75.0,2021
345,48,Female,USA,7,3.87,2020
346,50,Male,South Africa,8,18.21,2024
347,52,Male,Ghana,9,158.55,2016
348,32,Other,South Africa,5,210.82,2016
349,47,Male,Ghana,4,8.8,2020
350,60,Other,Nigeria,3,41.15,2023
351,37,Other,USA,7,40.95,2019
352,47,Other,USA,4,30.11,2021
353,37,Female,Nigeria,8,129.31,2016
354,41,Female,South Africa,8,70.13,2020
355,30,Male,South Africa,1,72.31,2020
356,58,Other,Kenya,5,15.71,2024
357,30,Female,Ghana,4,28.49,2020
358,14,Female,South Africa,3,33.42,2020
359,66,Female,Nigeria,2,17.76,2018
360,47,Female,South Africa,8,4.98,2019
361,28,Female,USA,8,6.75,2018
362,53,Other,Ghana,3,9.96,2020
363,48,Other,UK,4,11.39,2023
364,45,Other,Kenya,12,13.87,2019
365,16,Other,Ghana,3,14.75,2019
366,45,Male,USA,3,30.41,2017
367,26,Other,USA,4,35.62,2021
368,33,Female,USA,3,18.47,2019
369,60,Other,USA,4,118.92,2016
370,32,Male,Nigeria,6,40.28,2023
371,68,Female,Kenya,4,77.44,2019
372,20,Other,UK,3,129.01,2021
373,19,Other,USA,8,8.9,2021
374,15,Other,USA,2,27.92,2024
375,29,Female,South Africa,3,28.39,2022
376,45,Female,Kenya,7,21.88,2018
377,60,Male,Ghana,3,0.45,2021
378,24,Female,Kenya,7,84.63,2017
379,63,Female,Kenya,5,5.91,2023
380,34,Other,UK,2,269.97,2022
381,67,Female,Kenya,9,74.13,2024
382,34,Other,UK,4,43.38,2023
383,58,Other,USA,3,8.4,2016
384,42,Female,USA,1,36.22,2018
385,50,Male,Nigeria,2,15.13,2015
386,50,Male,UK,6,14.54,2022
387,57,Female,UK,10,88.46,2018
388,63,Male,Ghana,6,23.95,2018
389,66,Other,South Africa,6,29.96,2021
390,20,Other,Kenya,2,92.56,2020
391,39,Female,Ghana,4,4.59,2017
392,39,Male,UK,5,45.15,2022
393,46,Male,Ghana,8,43.16,2016
394,33,Other,Nigeria,5,27.69,2015
395,42,Female,South Africa,3,88.53,2016
396,45,Male,UK,1,143.14,2023
397,40,Female,UK,7,31.31,2019
398,59,Male,Kenya,7,30.45,2019
399,45,Other,South Africa,4,34.86,2020
400,17,Other,Nigeria,4,64.21,2017
401,60,Female,USA,4,55.14,2015
402,31,Other,Ghana,9,12.61,2022
403,16,Male,Kenya,1,3.3,2021
404,47,Other,UK,3,149.05,2022
405,61,Female,USA,4,15.13,2023
406,29,Female,Nigeria,3,50.89,2016
407,56,Female,South Africa,3,88.14,2019
408,40,Male,Ghana,8,17.85,2016
409,42,Male,Kenya,11,50.45,2022
410,41,Male,UK,4,5.71,2018
411,58,Male,UK,2,175.21,2018
412,65,Male,USA,3,3.0,2024
413,18,Other,USA,4,28.83,2022
414,47,Male,Ghana,2,38.48,2021
415,53,Male,South Africa,7,78.15,2015
416,49,Other,Nigeria,2,6.46,2021
417,36,Male,South Africa,11,29.06,2024
418,41,Female,South Africa,5,17.81,2017
419,61,Male,South Africa,5,18.7,2019
420,58,Male,Ghana,4,75.43,2022
421,65,Female,Ghana,4,0.27,2020
422,43,Female,Nigeria,4,69.13,2022
423,47,Female,South Africa,3,83.14,2019
424,45,Female,Ghana,5,115.82,2024
425,64,Male,Nigeria,9,49.29,2023
426,33,Female,UK,5,20.28,2020
427,44,Female,Nigeria,2,27.86,2023
428,35,Other,South Africa,6,174.89,2018
429,45,Female,Kenya,7,106.51,2016
430,15,Female,South Africa,5,31.14,2022
431,30,Other,Kenya,7,143.29,2019
432,37,Other,Nigeria,7,86.57,2016
433,54,Male,UK,8,115.68,2020
434,43,Other,UK,7,57.44,2017
435,66,Male,Ghana,3,97.47,2015
436,15,Other,UK,4,111.17,2020
437,52,Other,USA,4,4.83,2022
438,58,Male,Nigeria,3,167.93,2015
439,36,Other,Ghana,7,20.29,2017
440,62,Male,UK,7,28.98,2020
441,44,Other,Nigeria,3,78.49,2024
442,59,Female,South Africa,7,54.67,2017
443,34,Other,UK,8,111.77,2021
444,35,Male,Kenya,3,25.59,2020
445,14,Other,Nigeria,4,23.36,2023
446,39,Male,Ghana,7,1.61,2020
447,54,Male,South Africa,1,31.06,2021
448,14,Female,USA,4,64.38,2016
449,38,Female,South Africa,2,17.92,2024
450,29,Male,UK,2,31.06,2018
451,52,Other,Kenya,5,12.38,2019
452,45,Male,South Africa,6,74.09,2016
453,21,Male,USA,5,3.12,2024
454,55,Other,Ghana,4,61.1,2024
455,66,Other,Nigeria,5,23.82,2024
456,60,Other,Kenya,7,2.12,2021
457,51,Other,USA,4,96.03,2018
458,41,Male,UK,2,33.44,2023
459,54,Male,UK,9,45.73,2022
460,67,Female,UK,4,65.84,2024
461,38,Male,Kenya,3,53.22,2023
462,47,Other,South Africa,4,65.63,2022
463,62,Female,Kenya,4,71.83,2019
464,37,Other,UK,6,44.48,2023
465,36,Male,USA,4,22.76,2019
466,25,Female,Nigeria,6,13.93,2022
467,19,Other,Nigeria,9,116.6,2018
468,69,Female,Kenya,3,175.2,2019
469,48,Female,UK,3,22.13,2018
470,57,Male,Ghana,8,5.96,2016
471,32,Other,Kenya,6,12.59,2018
472,13,Female,UK,1,55.53,2019
473,20,Female,South Africa,7,9.49,2020
474,58,Other,Nigeria,5,75.73,2018
475,28,Female,Nigeria,7,128.22,2024
476,26,Female,Nigeria,5,165.73,2018
477,24,Female,Ghana,2,0.47,2020
478,63,Other,UK,6,158.69,2021
479,35,Other,UK,7,67.39,2021
480,27,Other,UK,5,4.39,2018
481,40,Other,UK,6,26.83,2019
482,46,Male,Ghana,5,60.21,2017
483,14,Female,USA,6,156.96,2019
484,44,Other,Kenya,3,8.96,2024
485,35,Female,Kenya,4,6.83,2019
486,34,Female,UK,5,31.97,2018
487,63,Male,South Africa,8,172.26,2020
488,37,Other,Nigeria,10,177.68,2019
489,34,Other,Ghana,5,12.93,2022
490,34,Female,South Africa,3,19.24,2016
491,61,Other,South Africa,7,119.32,2020
492,64,Female,UK,2,66.37,2016
493,54,Female,Ghana,6,179.35,2020
494,18,Male,Kenya,6,111.82,2018
495,27,Male,Nigeria,6,12.11,2015
496,66,Male,Kenya,5,71.3,2020
497,55,Female,South Africa,0,2.49,2017
498,49,Other,Nigeria,6,85.14,2021
499,45,Male,USA,4,46.01,2017
500,20,Other,South Africa,6,156.29,2024
501,65,Male,Kenya,3,160.98,2018
502,56,Male,Kenya,6,2.61,2023
503,56,Female,UK,3,8.75,2021
504,17,Male,Kenya,5,33.1,2018
505,51,Male,Ghana,2,105.8,2016
506,16,Female,South Africa,4,84.22,2019
507,18,Other,Nigeria,7,166.73,2022
508,57,Male,Kenya,6,48.13,2016
509,44,Female,UK,7,14.82,2023
510,64,Male,UK,6,1.27,2019
511,42,Female,Kenya,2,12.61,2020
512,59,Other,Ghana,0,56.24,2021
513,47,Other,UK,4,130.37,2023
514,67,Female,Nigeria,5,19.35,2021
515,52,Female,South Africa,2,104.25,2018
516,64,Female,USA,3,25.12,2019
517,28,Other,Ghana,6,18.43,2017
518,25,Male,UK,9,35.55,2015
519,62,Other,South Africa,6,29.19,2017
520,54,Female,USA,4,122.55,2015
521,42,Female,Kenya,2,31.58,2019
522,31,Other,Kenya,6,16.24,2021
523,29,Female,Nigeria,7,92.44,2023
524,68,Other,USA,2,334.21,2018
525,31,Female,Kenya,6,52.23,2024
526,40,Male,Kenya,8,14.41,2024
527,67,Male,UK,4,13.64,2015
528,38,Female,Nigeria,6,2.97,2021
529,49,Other,South Africa,6,4.02,2017
530,38,Male,Kenya,1,123.25,2015
531,65,Other,Ghana,7,5.07,2018
532,35,Female,Ghana,6,33.12,2023
533,21,Other,South Africa,5,59.89,2020
534,24,Male,USA,3,94.97,2020
535,65,Other,Nigeria,7,9.39,2021
536,13,Other,UK,4,28.79,2015
537,13,Female,Ghana,2,14.48,2019
538,59,Female,Ghana,7,14.77,2018
539,46,Female,South Africa,5,18.11,2018
540,44,Male,USA,8,44.23,2021
541,66,Male,USA,7,0.84,2016
542,60,Female,South Africa,5,26.28,2019
543,37,Female,Ghana,4,10.34,2021
544,52,Male,Nigeria,3,170.74,2017
545,57,Male,Ghana,9,43.7,2016
546,65,Male,USA,4,101.28,2015
547,13,Male,UK,8,10.89,2019
548,28,Female,Ghana,4,83.04,2019
549,51,Male,Nigeria,2,26.79,2018
550,17,Female,Kenya,2,9.78,2022
551,34,Other,Ghana,5,71.62,2016
552,41,Other,South Africa,8,71.78,2018
553,67,Male,Kenya,5,274.69,2019
554,15,Other,South Africa,6,75.92,2023
555,24,Other,South Africa,3,7.85,2017
556,38,Other,South Africa,5,19.47,2015
557,28,Male,Ghana,8,30.05,2018
558,63,Male,USA,4,6.77,2024
559,49,Other,Kenya,5,77.57,2020
560,34,Female,Nigeria,1,37.4,2021
561,69,Other,USA,5,144.52,2018
562,41,Male,Ghana,6,44.5,2018
563,26,Male,South Africa,3,37.0,2020
564,40,Male,Nigeria,6,3.71,2015
565,17,Other,Kenya,5,8.09,2019
566,59,Female,USA,5,94.7,2017
567,61,Male,UK,6,233.76,2022
568,42,Male,USA,6,26.82,2019
569,58,Other,Nigeria,7,83.06,2021
570,64,Female,Ghana,6,49.39,2022
571,17,Other,Kenya,5,159.78,2022
572,24,Male,Nigeria,6,13.6,2016
573,28,Female,South Africa,6,39.35,2016
574,38,Female,Kenya,5,26.28,2024
575,38,Male,USA,10,39.01,2019
576,60,Female,Nigeria,4,15.66,2017
577,33,Female,USA,8,34.43,2024
578,51,Other,USA,6,49.02,2015
579,48,Male,USA,4,4.24,2022
580,45,Male,Ghana,5,67.93,2020
581,42,Male,USA,4,61.3,2017
582,49,Male,South Africa,6,106.2,2022
583,35,Male,South Africa,2,27.74,2015
584,22,Female,Kenya,2,3.18,2017
585,66,Other,UK,9,30.94,2023
586,17,Male,USA,1,7.4,2020
587,48,Other,USA,3,52.13,2015
588,46,Other,Nigeria,4,2.41,2023
589,64,Female,Ghana,3,23.42,2021
590,43,Male,UK,2,4.32,2015
591,22,Female,Kenya,6,0.17,2015
592,31,Male,UK,2,161.65,2019
593,44,Female,USA,7,277.69,2018
594,13,Other,Nigeria,10,40.54,2022
595,68,Male,Ghana,1,13.65,2016
596,17,Other,Kenya,2,121.01,2020
597,57,Other,UK,4,128.22,2022
598,16,Female,Kenya,4,96.38,2015
599,28,Male,USA,8,39.3,2017
600,36,Other,Kenya,6,3.88,2015
601,28,Female,Nigeria,2,4.63,2021
602,67,Male,Kenya,6,113.47,2015
603,14,Male,South Africa,8,104.3,2023
604,61,Other,Nigeria,8,28.49,2022
605,40,Male,UK,2,19.89,2017
606,44,Other,Ghana,5,51.66,2018
607,39,Male,Ghana,4,82.25,2023
608,32,Female,USA,3,65.78,2024
609,36,Other,USA,8,47.8,2020
610,24,Other,South Africa,3,13.17,2019
611,62,Male,UK,7,15.22,2019
612,47,Male,Ghana,2,64.38,2015
613,45,Other,Ghana,1,81.13,2015
614,45,Male,Ghana,5,6.17,2017
615,63,Female,Ghana,4,10.37,2016
616,55,Male,Kenya,4,57.05,2024
617,49,Female,UK,4,24.63,2015
618,24,Female,Nigeria,3,41.42,2019
619,15,Female,Nigeria,0,47.7,2017
620,13,Female,South Africa,2,74.85,2021
621,45,Female,Kenya,3,81.92,2022
622,52,Male,Ghana,4,16.43,2024
623,22,Female,Ghana,2,38.97,2020
624,55,Male,USA,6,6.59,2019
625,56,Female,USA,5,92.26,2024
626,41,Other,South Africa,1,93.36,2019
627,25,Female,Ghana,8,17.8,2015
628,24,Other,South Africa,6,8.75,2020
629,43,Female,Kenya,1,3.63,2020
630,58,Female,Nigeria,9,42.78,2017
631,14,Female,Ghana,3,4.79,2018
632,63,Other,UK,9,57.06,2018
633,62,Other,Kenya,4,56.68,2020
634,47,Female,Ghana,3,47.59,2022
635,35,Male,UK,7,104.6,2023
636,29,Female,USA,5,23.76,2023
637,38,Other,South Africa,6,116.28,2019
638,20,Female,USA,3,1.88,2022
639,41,Other,Nigeria,7,5.98,2022
640,38,Other,USA,5,26.57,2024
641,22,Other,Ghana,8,45.07,2018
642,38,Female,UK,7,1.65,2018
643,46,Other,USA,3,41.9,2017
644,63,Other,Ghana,5,18.37,2019
645,53,Female,Nigeria,9,109.08,2022
646,19,Other,UK,5,38.1,2022
647,16,Female,USA,6,44.32,2023
648,65,Other,South Africa,4,145.59,2015
649,62,Male,South Africa,6,72.23,2018
650,57,Male,UK,6,28.84,2020
651,23,Other,South Africa,5,32.4,2019
652,41,Male,USA,6,52.2,2018
653,68,Female,USA,4,11.17,2017
654,48,Male,UK,4,4.64,2016
655,37,Other,USA,7,18.64,2023
656,33,Other,Ghana,7,75.34,2024
657,69,Female,Nigeria,5,14.87,2017
658,48,Other,South Africa,3,7.01,2018
659,22,Female,Ghana,3,12.36,2015
660,49,Male,UK,3,56.81,2015
661,21,Male,South Africa,2,47.59,2024
662,36,Female,Ghana,6,58.29,2023
663,47,Female,USA,3,19.43,2018
664,61,Other,UK,3,115.56,2024
665,47,Male,UK,11,30.05,2018
666,60,Female,South Africa,4,36.05,2020
667,48,Male,USA,10,148.61,2016
668,30,Female,South Africa,8,193.83,2020
669,61,Male,Kenya,3,54.17,2021
670,51,Other,Ghana,7,144.85,2015
671,44,Male,Kenya,5,38.99,2022
672,36,Male,Ghana,3,18.36,2020
673,35,Male,Nigeria,5,18.92,2023
674,44,Male,UK,6,40.93,2018
675,49,Male,South Africa,5,46.45,2016
676,24,Other,Nigeria,5,28.96,2023
677,61,Female,Nigeria,2,107.61,2022
678,67,Male,UK,6,27.82,2016
679,25,Other,UK,5,15.97,2022
